AAVE/USD
AAVE/USDT
ALGO/USD
ALGO/USDT
AUD/USD
AVAX/BTC
AVAX/USD
AVAX/USDT
BAT/USD
BCH/BTC
BCH/USD
BCH/USDT
BRZ/USD
BRZ/USDT
BTC/AUD
BTC/BRZ
BTC/EUR
BTC/USD
BTC/USDT
CAD/USD
CUSDT/USD
CUSDT/USDT
DAI/USD
DAI/USDT
DOGE/BTC
DOGE/USD
DOGE/USDT
ETH/AUD
ETH/BTC
ETH/EUR
ETH/USD
ETH/USDT
ETHW/USD
EUR/USD
GBP/USD
GRT/USD
KSHIB/USD
LINK/BTC
LINK/USD
LINK/USDT
LTC/BTC
LTC/USD
LTC/USDT
MATIC/BTC
MATIC/USD
MKR/USD
NEAR/USD
NEAR/USDT
PAXG/USD
PAXG/USDT
SHIB/USD
SOL/BTC
SOL/USD
SOL/USDT
SUSHI/BTC
SUSHI/USD
SUSHI/USDT
TRX/USD
TRX/USDT
UNI/BTC
UNI/USD
UNI/USDT
USDT/USD
WBTC/USD
YFI/BTC
YFI/USD
YFI/USDT
