Coin,Price,Chg 24H,Vol 24H,Open Interest,OI Chg 24H,OI Share,OI / VOL24H,FR AVG,PFR AVG,Liqs. 24H
Reef  REEF,$0.0038,-1.42%,$174.6m,$9.4m,+7.94%,0.05%,0.05,-0.0816%,-0.0914%,$538.1k
LUNA2  LUNA2,$1.82,+5.05%,$167.4m,$15.5m,-5.04%,0.09%,0.09,-0.0126%,+0.0166%,$552.2k
Stellar Lumens  XLM,$0.0963,+8.58%,$154.2m,$26.8m,-4.18%,0.15%,0.17,+0.0247%,-0.0372%,$498.3k
SHIBA INU  SHIB,$0.0000,+3.71%,$149.6m,$10.9m,-17.98%,0.06%,0.07,+0.0273%,-0.0079%,$928.2k
Ethereum Name Service  ENS,$12.27,+9.85%,$137.2m,$20.7m,-7.69%,0.12%,0.15,-0.1037%,-0.1010%,$187.1k
Waves  WAVES,$2.45,+4.41%,$132.7m,$19.6m,-0.14%,0.11%,0.15,-0.0517%,-0.0197%,$786.4k
Unifi Protocol DAO  UNFI,$4.37,+4.13%,$130.5m,$5.6m,-16.56%,0.03%,0.04,+0.0100%,+0.0100%,$183.2k
THETA  THETA,$1.01,+5.76%,$124.3m,$15.0m,-18.85%,0.09%,0.12,+0.0992%,+0.0847%,$980.1k
Injective Protocol  INJ,$1.78,+18.06%,$122.9m,$6.5m,+1.42%,0.04%,0.05,-0.0967%,-0.1265%,$232.4k
Tether  USDT,$1.00,-0.08%,$117.2m,$66.4m,-41.14%,0.38%,0.57,-0.0323%,-0.0204%,$3.2m
1inch  1INCH,$0.5714,+7.69%,$112.3m,$16.3m,-10.60%,0.09%,0.15,-0.0927%,-0.0666%,$177.3k
ZCash  ZEC,$38.94,+6.38%,$110.8m,$11.8m,-9.85%,0.07%,0.11,-0.0322%,-0.0405%,$400.6k
Litentry  LIT,$0.7590,+6.30%,$108.2m,$7.3m,+5.29%,0.04%,0.07,+0.0100%,+0.0100%,$345.5k
Reserve Rights  RSR,$0.0045,+8.58%,$101.3m,$9.9m,-6.11%,0.06%,0.1,+0.0128%,+0.0178%,$305.8k
Arweave  AR,$10.10,+3.80%,$98.5m,$11.8m,-7.97%,0.07%,0.12,-0.0589%,-0.0607%,$257.4k
Monero  XMR,$129.79,+3.70%,$97.7m,$20.0m,-9.97%,0.11%,0.21,-0.0152%,-0.0870%,$464.4k
Kyber Network Crystal  KNC,$0.6220,+10.44%,$96.4m,$9.3m,+4.42%,0.05%,0.1,+0.1026%,+0.1349%,$227.2k
Elrond  EGLD,$47.26,+7.88%,$95.0m,$15.5m,-7.10%,0.09%,0.16,+0.0610%,+0.0403%,$258.8k
Zilliqa  ZIL,$0.0239,+4.43%,$94.9m,$11.8m,-8.35%,0.07%,0.12,-0.0652%,-0.0625%,$409.8k
yearn.finance  YFI,"$6,638.01",+8.49%,$93.5m,$16.6m,-6.24%,0.10%,0.18,-0.0675%,+0.0001%,$475.2k
Terra Classic  LUNC,$0.0002,+7.61%,$92.2m,$14.1m,-12.58%,0.08%,0.15,-0.1232%,-0.1060%,$459.7k
Synthetix Network Token  SNX,$1.95,+3.58%,$91.6m,$17.8m,-6.99%,0.10%,0.19,-0.0531%,-0.0485%,$318.8k
Quant  QNT,$123.12,+1.57%,$90.7m,$6.9m,+65.33%,0.04%,0.08,-0.5051%,-0.1445%,$339.4k
Klaytn  KLAY,$0.1893,+18.06%,$90.5m,$19.9m,+12.87%,0.11%,0.22,-0.0324%,-0.0192%,$317.1k
THORChain  RUNE,$1.18,+2.86%,$88.0m,$9.8m,-8.41%,0.06%,0.11,-0.0723%,-0.0940%,$475.6k
VeChain  VET,$0.0217,+3.92%,$87.6m,$12.8m,-5.48%,0.07%,0.15,-0.1421%,-0.1031%,$223.3k
Tellor  TRB,$11.35,+9.21%,$80.5m,$6.4m,-2.28%,0.04%,0.08,+0.0318%,+0.0090%,$243.0k
Gitcoin  GTC,$1.93,+2.98%,$79.9m,$4.3m,+9.72%,0.02%,0.05,+0.0100%,+0.0100%,$289.8k
Tezos  XTZ,$1.13,+3.77%,$77.3m,$16.5m,-14.68%,0.09%,0.21,-0.0040%,+0.0007%,$432.0k
Ocean Protocol  OCEAN,$0.1440,+5.27%,$77.0m,$4.2m,-3.10%,0.02%,0.05,-0.0138%,-0.0138%,$224.8k
The Graph  GRT,$0.0693,+8.73%,$76.2m,$14.9m,+8.16%,0.09%,0.2,+0.1284%,+0.0735%,$248.3k
Compound  COMP,$38.97,+4.00%,$75.1m,$14.1m,-9.32%,0.08%,0.19,-0.0874%,-0.0773%,$352.7k
Kava  KAVA,$0.9731,+2.93%,$74.5m,$8.9m,+7.38%,0.05%,0.12,-0.2302%,-0.2507%,$264.1k
Immutable X  IMX,$0.4809,+11.40%,$71.5m,$9.5m,-13.25%,0.05%,0.13,+0.0682%,+0.0036%,$206.3k
Enjin Coin  ENJ,$0.3659,+4.44%,$70.8m,$9.6m,-9.66%,0.06%,0.14,+0.0516%,+0.0622%,$251.4k
Ravencoin  RVN,$0.0233,+7.42%,$69.0m,$7.4m,-5.60%,0.04%,0.11,-0.1629%,-0.1502%,$358.7k
FOOTBALL  FOOTBALL,$772.29,+13.04%,$68.4m,$5.2m,+20.84%,0.03%,0.08,+0.0100%,+0.0100%,$277.2k
Lido DAO Token  LDO,$1.18,+18.13%,$67.9m,$11.4m,+13.40%,0.07%,0.17,-0.1177%,-0.0848%,$433.6k
Internet Computer  ICP,$4.26,+8.28%,$64.1m,$11.2m,-7.43%,0.06%,0.18,-0.0094%,-0.0100%,$317.1k
Kusama  KSM,$28.36,+10.08%,$63.9m,$10.3m,-15.05%,0.06%,0.16,+0.1602%,+0.1760%,$256.5k
DFI.Money  YFII,"$1,696.72",-8.51%,$63.6m,$41.2m,-7.19%,0.24%,0.65,-0.0974%,-0.1773%,$188.7k
Project Galaxy  GAL,$1.52,+3.50%,$62.6m,$6.2m,-7.81%,0.04%,0.1,-0.0804%,-0.0855%,$214.0k
Terra  LUNA,$1.81,+5.20%,$62.6m,$6.0m,-10.92%,0.03%,0.1,+0.0121%,+0.0103%,$85.0k
Jasmy  JASMY,$0.0041,+7.23%,$59.9m,$7.3m,-1.06%,0.04%,0.12,-0.0315%,-0.0573%,$189.6k
ETHPoW  ETHW,$4.32,+12.26%,$55.5m,$7.2m,-4.40%,0.04%,0.13,+0.2923%,+0.3428%,$169.6k
Storj  STORJ,$0.3268,+4.35%,$54.6m,$5.7m,-8.29%,0.03%,0.1,+0.0234%,+0.0084%,$165.9k
Bella Protocol  BEL,$0.4179,+5.28%,$52.7m,$2.5m,+6.17%,0.01%,0.05,+0.0037%,+0.0037%,$72.9k
OmiseGO  OMG,$1.30,+4.20%,$51.2m,$9.4m,-5.56%,0.05%,0.18,+0.1156%,+0.0708%,$215.2k
Harmony  ONE,$0.0162,+12.19%,$50.4m,$6.4m,-9.71%,0.04%,0.13,+0.0084%,-0.0030%,$173.4k
Flow (Dapper labs)  FLOW,$1.34,+4.61%,$48.8m,$8.1m,-14.69%,0.05%,0.17,+0.0681%,+0.0701%,$205.4k
Dash  DASH,$36.12,+3.82%,$48.6m,$12.1m,-11.02%,0.07%,0.25,+0.0362%,+0.0024%,$239.2k
Hedera  HBAR,$0.0497,+6.72%,$48.1m,$7.0m,-0.56%,0.04%,0.14,-0.0163%,-0.0144%,$194.3k
Oasis Network  ROSE,$0.0544,+8.95%,$45.0m,$7.1m,-0.78%,0.04%,0.16,+0.3087%,+0.3184%,$200.9k
Ontology  ONT,$0.1791,+2.21%,$43.5m,$5.4m,-7.94%,0.03%,0.12,-0.0147%,-0.0785%,$104.9k
Wootrade  WOO,$0.1365,+7.67%,$43.3m,$3.6m,+3.93%,0.02%,0.08,+0.0074%,+0.0100%,$67.9k
