,Chg 24H,Vol 24H,Open Interest,OI Chg 24H,OI Share,FR AVG,PFR AVG,Liqs. 24H
84,0.0472,18000000,3900000,0.0433,0.0003,0.0006,0.0002,10600
85,0.0161,17500000,3300000,0.0132,0.0002,0.0001,0.0001,23500
86,0.0237,17500000,8500000,0.0527,0.0006,0,0.0001,4700
87,0.0186,17400000,7000000,0.0576,0.0005,0.0003,0.0001,5900
88,0.0259,17400000,3400000,0.0333,0.0002,0.0001,0.0001,4700
89,N/A,16100000,1400000,0.0687,0.0001,0.0001,0.0001,78900
90,0.0227,16000000,7400000,0.0222,0.0005,0.0001,0.0002,33900
91,0.0354,15800000,6300000,0.0155,0.0004,0.0001,0.0001,22400
92,0.0295,14900000,3200000,0.224,0.0002,0.0001,0.0001,3600
93,0.0188,14900000,6300000,0.0782,0.0004,0,0.0001,8600
94,0.0024,14800000,31500000,0.0239,0.0021,0.0001,0.0001,8000
95,0.0023,14200000,12900000,0.0196,0.0009,0.0001,0.0003,10500
96,0.0011,13800000,2900000,0.1093,0.0002,0.0001,0.0001,10300
97,0,13700000,3400000,0.2307,0.0002,0.0001,0.0001,2100
98,0.0043,13100000,2900000,0.1573,0.0002,0.0001,0.0001,3100
