Coin,Price,Chg 24H,Vol 24H,Open Interest,OI Chg 24H,OI Share,OI / VOL24H,FR AVG,PFR AVG,Liqs. 24H
Quant  QNT,$115.97,+1.89%,$21.1m,$5.2m,-6.38%,0.04%,0.25,+0.0100%,+0.0100%,$18.1k
Injective Protocol  INJ,$1.73,-0.19%,$20.2m,$5.7m,-0.06%,0.04%,0.28,+0.0041%,+0.0066%,$17.8k
Zilliqa  ZIL,$0.0213,-0.38%,$20.1m,$9.6m,-0.56%,0.07%,0.48,+0.0115%,+0.0119%,$4.4k
StormX  STMX,$0.0052,+1.40%,$19.8m,$2.2m,+21.40%,0.01%,0.11,-0.0509%,-0.0433%,$26.6k
SHIBA INU  SHIB,$0.0000,+0.16%,$19.3m,$8.1m,+6.42%,0.06%,0.42,+0.0161%,+0.0328%,$30.0k
Storj  STORJ,$0.2992,-2.48%,$19.0m,$5.0m,+0.98%,0.03%,0.26,+0.0116%,+0.0216%,$38.3k
Kusama  KSM,$24.24,-1.36%,$19.0m,$8.3m,+11.90%,0.06%,0.44,+0.0113%,+0.0120%,$66.0k
Crypto.com Coin  CRO,$0.0688,+1.62%,$18.8m,$11.7m,-9.38%,0.08%,0.62,-0.1764%,-0.0923%,$100.2k
Tezos  XTZ,$0.9783,-0.39%,$18.1m,$13.4m,+2.77%,0.09%,0.74,+0.0046%,+0.0142%,$2.6k
Celo  CELO,$0.4448,+4.72%,$18.0m,$3.9m,+4.33%,0.03%,0.22,-0.0566%,+0.0196%,$10.6k
Ocean Protocol  OCEAN,$0.1301,-1.61%,$17.5m,$3.3m,+1.32%,0.02%,0.19,+0.0100%,+0.0100%,$23.5k
Loopring  LRC,$0.2448,-2.37%,$17.5m,$8.5m,-5.27%,0.06%,0.49,-0.0013%,+0.0138%,$4.7k
Enjin Coin  ENJ,$0.3052,-1.86%,$17.4m,$7.0m,+5.76%,0.05%,0.4,-0.0253%,+0.0094%,$5.9k
Gitcoin  GTC,$1.87,-2.59%,$17.4m,$3.4m,-3.33%,0.02%,0.19,+0.0100%,+0.0100%,$4.7k
Ambrosus  AMB,,,$16.1m,$1.4m,+6.87%,0.01%,0.09,+0.0064%,+0.0095%,$78.9k
The Graph  GRT,$0.0605,-2.27%,$16.0m,$7.4m,+2.22%,0.05%,0.46,-0.0064%,+0.0220%,$33.9k
Project Galaxy  GAL,$1.41,-3.54%,$15.8m,$6.3m,+1.55%,0.04%,0.4,+0.0100%,+0.0100%,$22.4k
ARPA Chain  ARPA,$0.0269,+2.95%,$14.9m,$3.2m,+22.40%,0.02%,0.22,+0.0066%,+0.0073%,$3.6k
Tellor  TRB,$11.65,+1.88%,$14.9m,$6.3m,+7.82%,0.04%,0.42,-0.0007%,-0.0056%,$8.6k
BinaryX  BNX,$149.54,-0.24%,$14.8m,$31.5m,-2.39%,0.21%,2.13,+0.0100%,+0.0100%,$8.0k
Klaytn  KLAY,$0.1673,-0.23%,$14.2m,$12.9m,-1.96%,0.09%,0.91,+0.0147%,+0.0302%,$10.5k
Metal  MTL,$0.6796,+0.11%,$13.8m,$2.9m,-10.93%,0.02%,0.21,+0.0093%,+0.0096%,$10.3k
Stargate Finance  STG,$0.4064,+0.00%,$13.7m,$3.4m,+23.07%,0.02%,0.25,+0.0100%,+0.0100%,$2.1k
Bella Protocol  BEL,$0.4015,+0.43%,$13.1m,$2.9m,+15.73%,0.02%,0.22,+0.0100%,+0.0100%,$3.1k
