ADA/USD
ETHUSD_221230
BTCUSD_230331
DOTUSD_230331
ADAUSD_221230
CHZ/USD
APT/USD
ADAUSD_230331
KNC/USD
EGLD/USD
ROSE/USD
XRPUSD_221230
ETH/USD
BNB/USD
LTCUSD_230331
BTCUSD_221230
ETHUSD_230331
ZIL/USD
DOTUSD_221230
BTC/USD
APE/USD
THETA/USD
EOS/USD
ETC/USD
ALGO/USD
LINKUSD_221230
SAND/USD
OP/USD
ENS/USD
BCHUSD_221230
MANA/USD
XLM/USD
SOL/USD
LINKUSD_230331
GALA/USD
VET/USD
LTC/USD
TRX/USD
BCHUSD_230331
DOGE/USD
AVAX/USD
RUNE/USD
XRP/USD
BNBUSD_230331
LTCUSD_221230
FTM/USD
UNI/USD
ATOM/USD
ICX/USD
LINK/USD
DOT/USD
NEAR/USD
FIL/USD
BNBUSD_221230
XMR/USD
AXS/USD
AAVE/USD
XTZ/USD
MATIC/USD
XRPUSD_230331
BCH/USD
GMT/USD
