BTC/USD
ETH/USD
XRP/USD
BCH/USD
LTC/USD
USDT/USD
BTC/USDT
ETH/USDT
XRP/USDT
BCH/USDT
LTC/USDT
BNB/USD
BNB/USDT
ETH/BTC
XRP/BTC
BNB/BTC
LTC/BTC
BCH/BTC
ADA/USD
BAT/USD
ETC/USD
XLM/USD
ZRX/USD
ADA/USDT
BAT/USDT
ETC/USDT
XLM/USDT
ZRX/USDT
LINK/USD
RVN/USD
DASH/USD
ZEC/USD
ALGO/USD
IOTA/USD
BUSD/USD
BTC/BUSD
DOGE/USDT
WAVES/USD
ATOM/USDT
ATOM/USD
NEO/USDT
NEO/USD
VET/USDT
QTUM/USDT
QTUM/USD
NANO/USD
ICX/USD
ENJ/USD
ONT/USD
ONT/USDT
ZIL/USD
ZIL/BUSD
VET/USD
BNB/BUSD
XRP/BUSD
ETH/BUSD
ALGO/BUSD
XTZ/USD
XTZ/BUSD
HBAR/USD
HBAR/BUSD
OMG/USD
OMG/BUSD
MATIC/USD
MATIC/BUSD
XTZ/BTC
ADA/BTC
REP/BUSD
REP/USD
EOS/BUSD
EOS/USD
DOGE/USD
KNC/USD
KNC/USDT
VTHO/USDT
VTHO/USD
USDC/USD
COMP/USDT
COMP/USD
MANA/USD
HNT/USD
HNT/USDT
MKR/USD
MKR/USDT
DAI/USD
ONE/USDT
ONE/USD
BAND/USDT
BAND/USD
STORJ/USDT
STORJ/USD
BUSD/USDT
UNI/USD
UNI/USDT
SOL/USD
SOL/USDT
LINK/BTC
VET/BTC
UNI/BTC
EGLD/USDT
EGLD/USD
PAXG/USDT
PAXG/USD
OXT/USDT
OXT/USD
ZEN/USDT
ZEN/USD
BTC/USDC
ONE/BUSD
FIL/USDT
FIL/USD
AAVE/USDT
AAVE/USD
GRT/USDT
GRT/USD
SUSHI/USD
ANKR/USD
AMP/USD
SHIB/USDT
SHIB/BUSD
CRV/USDT
CRV/USD
AXS/USDT
AXS/USD
SOL/BTC
AVAX/USDT
AVAX/USD
CTSI/USDT
CTSI/USD
DOT/USDT
DOT/USD
YFI/USDT
YFI/USD
1INCH/USDT
1INCH/USD
FTM/USDT
FTM/USD
USDC/USDT
ETH/USDC
USDC/BUSD
MATIC/USDT
MANA/USDT
MANA/BUSD
ALGO/USDT
ADA/BUSD
SOL/BUSD
LINK/USDT
EOS/USDT
ZEC/USDT
ENJ/USDT
NEAR/USDT
NEAR/BUSD
NEAR/USD
OMG/USDT
SUSHI/USDT
LRC/USDT
LRC/USD
LRC/BTC
KSHIB/USD
LPT/USDT
LPT/BUSD
LPT/USD
POLY/USDT
POLY/BUSD
POLY/USD
POLY/BTC
MATIC/BTC
DOT/BTC
NMR/USDT
NMR/USD
SLP/USDT
SLP/USD
ANT/USDT
ANT/USD
XNO/USD
CHZ/USDT
CHZ/USD
OGN/USDT
OGN/USD
GALA/USDT
GALA/USD
TLM/USDT
TLM/USD
SNX/USDT
SNX/USD
AUDIO/USDT
AUDIO/USD
ENS/USDT
MANA/BTC
ATOM/BTC
AVAX/BTC
WBTC/BTC
REQ/USDT
REQ/USD
APE/USDT
APE/USD
FLUX/USDT
FLUX/USD
TRX/BTC
TRX/BUSD
TRX/USDT
TRX/USD
COTI/USDT
COTI/USD
VOXEL/USDT
VOXEL/USD
RLC/USDT
RLC/USD
UST/USDT
UST/USD
BICO/USDT
BICO/USD
API3/USDT
API3/USD
ENS/USD
BTC/UST
BNT/USDT
BNT/USD
IMX/USDT
IMX/USD
SPELL/USDT
SPELL/USD
JASMY/USDT
JASMY/USD
FLOW/USDT
FLOW/USD
GTC/USDT
GTC/USD
THETA/USDT
THETA/USD
TFUEL/USDT
TFUEL/USD
OCEAN/USDT
OCEAN/USD
LAZIO/USDT
LAZIO/USD
SANTOS/USDT
SANTOS/USD
ALPINE/USDT
ALPINE/USD
PORTO/USDT
PORTO/USD
REN/USDT
REN/USD
CELR/USDT
CELR/USD
SKL/USDT
SKL/USD
VITE/USDT
VITE/USD
WAXP/USDT
WAXP/USD
LTO/USDT
LTO/USD
FET/USDT
FET/USD
BOND/USDT
BOND/USD
LOKA/USDT
LOKA/USD
ICP/USDT
ICP/USD
T/USDT
T/USD
OP/USDT
OP/USD
ROSE/USDT
ROSE/USD
CELO/USDT
CELO/USD
KDA/USDT
KDA/USD
KSM/USDT
KSM/USD
ACH/USDT
ACH/USD
DAR/USDT
DAR/USD
RNDR/USDT
RNDR/USD
SYS/USDT
SYS/USD
RAD/USDT
RAD/USD
ILV/USDT
ILV/USD
LDO/USDT
LDO/USD
RARE/USDT
RARE/USD
LSK/USDT
LSK/USD
DGB/USDT
DGB/USD
REEF/USDT
REEF/USD
SRM/USDT
SRM/USD
ALICE/USDT
ALICE/USD
FORTH/USDT
FORTH/USD
ASTR/USDT
ASTR/USD
BTRST/USDT
BTRST/USD
GAL/USDT
GAL/USD
SAND/USDT
SAND/USD
BAL/USDT
BAL/USD
POLYX/USD
GLM/USDT
GLM/USD
CLV/USDT
CLV/USD
TUSD/USDT
TUSD/USD
