1INCH/USD:USD
1INCH/USD:USD-221230
1INCH/USD
AAPL/USD:USD-221230
AAPL/USD
AAVE/USD:USD
AAVE/USD:USD-221230
AAVE/USD
AAVE/USDT
ABNB/USD:USD-221230
ABNB/USD
ACB/USD:USD-221230
ACB/USD
ADA/USD:USD
ADA/USD:USD-221230
AGLD/USD:USD
AGLD/USD
AKRO/USD
AKRO/USDT
ALCX/USD:USD
ALCX/USD
ALEPH/USD
ALGO/USD:USD
ALGO/USD:USD-221230
ALGO/USD
ALGO/USDT
ALICE/USD:USD
ALICE/USD
ALPHA/USD:USD
ALPHA/USD
ALT/USD:USD
ALT/USD:USD-221230
AMC Entertainment Holdings/USD:USD-221230
AMC Entertainment Holdings/USD
AMD/USD:USD-221230
AMD/USD
AMPL/USD:USD
AMPL/USD
AMPL/USDT
AMZN/USD:USD-221230
AMZN/USD
APE/USD:USD
APE/USD:USD-221230
APE/USD
APEAMC/USD
APHA/USD
APT/USD:USD
APT/USD
APT/USDT
AR/USD:USD
ARKK/USD:USD-221230
ARKK/USD
ASD/USD:USD
ASD/USD
ATLAS/USD:USD
ATLAS/USD
ATOM/USD:USD
ATOM/USD:USD-221230
ATOM/USD
ATOM/USDT
AUDIO/USD:USD
AUDIO/USD
AUDIO/USDT
AURY/USD
AVAX/USD:USD
AVAX/USD:USD-221230
AVAX/BTC
AVAX/JPY
AVAX/TRY
AVAX/USD
AVAX/USDT
AXS/USD:USD
AXS/USD:USD-221230
AXS/USD
BABA/USD:USD-221230
BABA/USD
BADGER/USD:USD
BADGER/USD
BAL/USD:USD
BAL/USD:USD-221230
BAL/USD
BAL/USDT
BAND/USD:USD
BAND/USD
BAO/USD
BAR/USD
BAT/USD:USD
BAT/JPY
BAT/USD
BB/USD:USD-221230
BB/USD
BCH/USD:USD
BCH/USD:USD-221230
BCH/BTC
BCH/JPY
BCH/USD
BCH/USDT
BICO/USD
BILI/USD:USD-221230
BILI/USD
BIT/USD:USD
BIT/USD
BITO/USD:USD-221230
BITO/USD
BITW/USD:USD-221230
BITW/USD
BLT/USD
BNB/USD:USD
BNB/USD:USD-221230
BNB/BTC
BNB/USD
BNB/USDT
BNT/USD:USD
BNT/USD
BNTX/USD:USD-221230
BNTX/USD
BOBA/USD:USD
BOBA/USD
BRZ/USD:USD
BRZ/USD
BRZ/USDT
BSV/USD:USD
BSV/USD:USD-221230
BTC/USD:USD
BTC-MOVE/USD:USD-221102
BTC-MOVE/USD:USD-221103
BTC-MOVE-WK/USD:USD-221105
BTC-MOVE-WK/USD:USD-221112
BTC-MOVE-WK/USD:USD-221119
BTC-MOVE-WK/USD:USD-221126
BTC/USD:USD-221230
BTC-MOVE/USD:USD-221230
BTC/USD:USD-230331
BTC-MOVE/USD:USD-230331
BTC-MOVE/USD:USD-230630
BTC/AUD
BTC/BRZ
BTC/EUR
BTC/JPY
BTC/TRY
BTC/TRYB
