BTC/USD
ETH/USD
BCH/USD
DASH/USD
LTC/USD
XRP/USD
XLM/USD
OMG/USD
MHC/USD
TRX/USD
ADA/USD
NEO/USD
GAS/USD
BAT/USD
ATOM/USD
XTZ/USD
GUSD/USD
ONT/USD
ONG/USD
USDT/USD
USDC/USD
WABI/USD
MATIC/USD
LINK/USD
MKR/USD
ZRX/USD
LAMB/USD
HOT/USD
DOT/USD
COMP/USD
ZIL/USD
UNI/USD
UMA/USD
YFI/USD
SNX/USD
KNC/USD
BAL/USD
CRV/USD
WBTC/USD
DAI/USD
TUSD/USD
MTA/USD
SUSHI/USD
CREAM/USD
YFII/USD
BUSD/USD
REN/USD
BAND/USD
AKRO/USD
BNT/USD
ANT/USD
OCEAN/USD
SRM/USD
KAVA/USD
STORJ/USD
GLM/USD
GZIL/USD
AWG/USD
FUN/USD
UTK/USD
1INCH/USD
INJ/USD
RENBTC/USD
RSR/USD
MANA/USD
LRC/USD
DNT/USD
CVC/USD
XSGD/USD
ZWAP/USD
BNB/USD
XVS/USD
TWT/USD
CAKE/USD
BEL/USD
HAPI/USD
COTI/USD
AWS/USD
AAVE/USD
ZAP/USD
DOGE/USD
ICP/USD
JASMY/USD
KSM/USD
RARI/USD
SOL/USD
SHIB/USD
KP3R/USD
GRT/USD
TRB/USD
EDGT/USD
MINA/USD
API3/USD
FARM/USD
ARPA/USD
WNXM/USD
DYDX/USD
SGB/USD
AWX/USD
AXS/USD
EVER/USD
QRDO/USD
SAND/USD
QNT/USD
AVAX/USD
CRO/USD
EXFI/USD
FTM/USD
APE/USD
XDC/USD
BTTC/USD
FIL/USD
AUDIO/USD
LUNC/USD
ALGO/USD
LUNA2/USD
EUROC/USD
MERC/USD
OP/USD
LDO/USD
GNO/USD
KEEP/USD
REQ/USD
CHR/USD
VET/USD
ARV/USD
ETHW/USD
OGN/USD
SXP/USD
STRK/USD
MPL/USD
CONV/USD
BOND/USD
LQTY/USD
POLS/USD
IDEX/USD
CHZ/USD
LEVER/USD
GALA/USD
SURE/USD
EGLD/USD
MIOTA/USD
FLOW/USD
BTC/EUR
ETH/EUR
BCH/EUR
DASH/EUR
XRP/EUR
XLM/EUR
OMG/EUR
MHC/EUR
TRX/EUR
LTC/EUR
ADA/EUR
NEO/EUR
GAS/EUR
BAT/EUR
ATOM/EUR
XTZ/EUR
GUSD/EUR
ONT/EUR
ONG/EUR
USDT/EUR
WABI/EUR
MATIC/EUR
LINK/EUR
USDC/EUR
SHIB/EUR
AWX/EUR
XDC/EUR
BTTC/EUR
EUROC/EUR
BTC/GBP
ETH/GBP
BCH/GBP
MHC/GBP
LTC/GBP
XRP/GBP
ADA/GBP
NEO/GBP
GAS/GBP
ATOM/GBP
BAT/GBP
XTZ/GBP
USDT/GBP
WABI/GBP
MATIC/GBP
LINK/GBP
AWG/GBP
TRX/GBP
SHIB/GBP
ETH/BTC
BCH/BTC
DASH/BTC
LTC/BTC
XRP/BTC
XLM/BTC
OMG/BTC
MHC/BTC
TRX/BTC
ONT/BTC
ONG/BTC
RENBTC/BTC
WBTC/BTC
MHC/ETH
BTC/USDT
ETH/USDT
BCH/USDT
LTC/USDT
XRP/USDT
XLM/USDT
OMG/USDT
TRX/USDT
ONT/USDT
ONG/USDT
ADA/USDT
MATIC/USDT
ZRX/USDT
LAMB/USDT
HOT/USDT
DASH/USDT
NEO/USDT
GAS/USDT
BAT/USDT
ATOM/USDT
XTZ/USDT
GUSD/USDT
USDC/USDT
WABI/USDT
LINK/USDT
DOT/USDT
COMP/USDT
ZIL/USDT
UNI/USDT
UMA/USDT
YFI/USDT
SNX/USDT
KNC/USDT
CRV/USDT
WBTC/USDT
DAI/USDT
TUSD/USDT
MTA/USDT
MUSD/USDT
SUSHI/USDT
CREAM/USDT
YFII/USDT
BUSD/USDT
REN/USDT
BAND/USDT
AKRO/USDT
BNT/USDT
ZAP/USDT
SRM/USDT
PAXG/USDT
OCEAN/USDT
STORJ/USDT
KAVA/USDT
KSM/USDT
AAVE/USDT
REPV2/USDT
GLM/USDT
GZIL/USDT
UTK/USDT
EDGT/USDT
SHIB/USDT
EVER/USDT
XDC/USDT
BTTC/USDT
