Coin,Price,Chg 24H,Vol 24H,Open Interest,OI Chg 24H,OI Share,OI / VOL24H,FR AVG,PFR AVG,Liqs. 24H
Jasmy  JASMY,$0.0052,-4.03%,$102.9m,$14.1m,-16.14%,0.06%,0.14,+0.0203%,+0.0178%,$264.3k
Reserve Rights  RSR,$0.0061,-1.98%,$100.3m,$20.1m,-6.68%,0.08%,0.2,+0.0005%,+0.0128%,$166.6k
Elrond  EGLD,$58.06,-3.40%,$99.0m,$28.3m,-11.83%,0.12%,0.29,+0.0082%,+0.0014%,$235.6k
Tron  TRX,$0.0625,-0.38%,$92.0m,$95.6m,-0.24%,0.40%,1.04,+0.0027%,+0.0052%,$50.1k
Decentraland  MANA,$0.6265,-4.68%,$91.6m,$38.9m,-0.17%,0.16%,0.42,-0.0077%,-0.0073%,$350.8k
dYdX  DYDX,$1.50,-6.82%,$82.6m,$35.6m,-2.78%,0.15%,0.43,+0.0043%,+0.0008%,$333.6k
Aave  AAVE,$82.18,-2.85%,$78.6m,$52.4m,-5.36%,0.22%,0.67,-0.0046%,-0.0214%,$95.2k
Waves  WAVES,$3.25,-3.30%,$67.0m,$38.1m,-5.79%,0.16%,0.57,-0.0005%,+0.0074%,$252.5k
Storj  STORJ,$0.4494,-0.17%,$65.2m,$11.7m,-8.80%,0.05%,0.18,-0.0012%,-0.0159%,$138.8k
Render Token  RNDR,$0.7956,+27.58%,$60.1m,$5.3m,+43.82%,0.02%,0.09,+0.0076%,-0.0137%,$368.0k
Monero  XMR,$148.44,-0.62%,$58.7m,$33.1m,+0.18%,0.14%,0.56,+0.0054%,-0.0008%,$33.2k
ZCash  ZEC,$50.75,+0.45%,$54.3m,$19.8m,-6.93%,0.08%,0.36,-0.0064%,-0.0064%,$81.5k
Synthetix Network Token  SNX,$2.38,-7.19%,$54.3m,$27.4m,-18.21%,0.11%,0.5,+0.0000%,-0.0081%,$125.5k
Reef  REEF,$0.0051,-3.54%,$49.7m,$18.6m,-10.33%,0.08%,0.37,+0.0019%,+0.0009%,$153.5k
Kyber Network Crystal  KNC,$0.8655,-3.47%,$48.9m,$18.5m,-7.25%,0.08%,0.38,-0.0014%,-0.0109%,$114.1k
Audius  AUDIO,$0.1984,-6.99%,$48.3m,$6.6m,-22.67%,0.03%,0.14,-0.0020%,-0.0012%,$102.3k
