,Coin,Price,Chg 24H,Vol 24H,Open Interest,OI Chg 24H,OI Share,OI / VOL24H,FR AVG,PFR AVG,Liqs. 24H
71,Swipe  SXP,$0.2584,-1.57%,$21.6m,$8.1m,+0.12%,0.05%,0.38,+0.0100%,+0.0100%,$34.9k
72,Kyber Network Crystal  KNC,$0.5981,-2.65%,$21.6m,$8.4m,-6.71%,0.06%,0.39,+0.0219%,+0.0010%,$16.7k
73,VeChain  VET,$0.0190,-2.20%,$21.2m,$10.7m,-4.34%,0.07%,0.51,+0.0332%,+0.0359%,$6.0k
74,Quant  QNT,$116.50,-2.32%,$20.4m,$5.6m,-2.10%,0.04%,0.27,-0.0327%,-0.0164%,$20.4k
75,Hedera  HBAR,$0.0480,-3.95%,$18.7m,$7.5m,-8.72%,0.05%,0.4,+0.0100%,+0.0100%,$50.4k
76,Celo  CELO,$0.4498,+2.31%,$18.2m,$4.1m,+4.90%,0.03%,0.23,-0.1159%,-0.1084%,$18.8k
77,Compound  COMP,$38.73,-1.88%,$15.9m,$10.9m,-1.53%,0.07%,0.69,+0.0069%,+0.0014%,$25.6k
78,Loopring  LRC,$0.2434,-0.78%,$15.4m,$8.6m,+0.76%,0.06%,0.56,+0.0210%,+0.0010%,$32.3k
79,Terra Classic  LUNC,$0.0002,-0.50%,$15.3m,$3.9m,+4.36%,0.03%,0.26,+0.0116%,+0.0159%,$6.7k
80,THORChain  RUNE,$1.19,-0.50%,$15.2m,$8.2m,+1.76%,0.06%,0.54,+0.0100%,+0.0100%,$40.6k
81,Ocean Protocol  OCEAN,$0.1266,-3.13%,$14.9m,$3.3m,-1.12%,0.02%,0.22,-0.0273%,-0.0093%,$20.2k
82,Helium  HNT,$3.55,+1.33%,$14.7m,$4.8m,-21.82%,0.03%,0.33,-0.1559%,-0.2192%,$6.1k
83,The Graph  GRT,$0.0600,-1.22%,$14.7m,$7.5m,+1.01%,0.05%,0.51,+0.0134%,+0.0062%,$4.1k
84,Stargate Finance  STG,$0.4115,-1.41%,$14.7m,$3.7m,-17.93%,0.03%,0.25,+0.0100%,+0.0100%,$1.7k
85,Terra  LUNA,$1.67,+0.09%,$14.7m,$6.0m,+12.16%,0.04%,0.41,+0.0143%,+0.0149%,$3.7k
86,Zilliqa  ZIL,$0.0212,-0.36%,$14.5m,$9.2m,-2.73%,0.06%,0.64,+0.0159%,+0.0086%,$3.0k
87,Dash  DASH,$33.61,-0.34%,$13.9m,$10.7m,+5.29%,0.07%,0.77,+0.0297%,+0.0147%,$8.1k
88,ETHPoW  ETHW,$3.71,-0.45%,$13.9m,$5.9m,+9.09%,0.04%,0.43,+0.1021%,+0.0050%,$34.9k
89,Tezos  XTZ,$0.9669,-1.52%,$13.8m,$13.3m,-2.00%,0.09%,0.96,-0.0012%,+0.0169%,$60.0
90,Gitcoin  GTC,$1.89,+0.01%,$13.7m,$3.5m,+0.06%,0.02%,0.25,+0.0099%,+0.0100%,$69.7
91,Ren  REN,$0.0758,-0.95%,$13.6m,$4.2m,+1.76%,0.03%,0.31,+0.0026%,+0.0015%,$5.8k
92,Project Galaxy  GAL,$1.39,-2.35%,$13.6m,$6.2m,-2.36%,0.04%,0.45,+0.0090%,+0.0090%,$47.7k
93,SHIBA INU  SHIB,$0.0000,-1.36%,$13.4m,$8.2m,+5.59%,0.05%,0.61,+0.0087%,-0.0125%,$9.1k
94,Enjin Coin  ENJ,$0.3034,-0.84%,$13.2m,$6.7m,-3.24%,0.05%,0.51,-0.0097%,+0.0206%,$526.0
95,Injective Protocol  INJ,$1.71,-1.32%,$12.9m,$5.5m,-3.22%,0.04%,0.43,+0.0323%,+0.0323%,$3.7k
96,Storj  STORJ,$0.3024,+0.44%,$12.6m,$4.8m,-2.52%,0.03%,0.38,+0.0041%,+0.0032%,$7.7k
97,Kusama  KSM,$23.91,-1.56%,$12.5m,$7.4m,-12.11%,0.05%,0.59,+0.0051%,+0.0101%,$22.9k
98,Flow (Dapper labs)  FLOW,$1.20,-0.15%,$12.4m,$6.4m,-1.49%,0.04%,0.51,+0.0054%,+0.0071%,$3.3k
99,Tellor  TRB,$11.25,-3.46%,$11.8m,$5.9m,-5.95%,0.04%,0.5,+0.0149%,+0.0144%,$8.7k
