,info,timestamp,datetime,symbol,id,order,type,side,takerOrMaker,price,amount,cost,fee,fees
570,"{'a': '1917339365', 'p': '16713.93000000', 'q': '0.00264000', 'f': '2237935376', 'l': '2237935376', 'T': '1669261679943', 'm': False, 'M': True}",1669261679943,2022-11-24T03:47:59.943Z,BTC/USDT,1917339365,,,buy,taker,16713.93,0.00264,44.1247752,,[]
571,"{'a': '1917339366', 'p': '16713.93000000', 'q': '0.00074000', 'f': '2237935377', 'l': '2237935377', 'T': '1669261679947', 'm': False, 'M': True}",1669261679947,2022-11-24T03:47:59.947Z,BTC/USDT,1917339366,,,buy,taker,16713.93,0.00074,12.3683082,,[]
572,"{'a': '1917339367', 'p': '16713.94000000', 'q': '0.00011000', 'f': '2237935378', 'l': '2237935378', 'T': '1669261679947', 'm': False, 'M': True}",1669261679947,2022-11-24T03:47:59.947Z,BTC/USDT,1917339367,,,buy,taker,16713.94,0.00011,1.8385334,,[]
573,"{'a': '1917339368', 'p': '16714.25000000', 'q': '0.00061000', 'f': '2237935379', 'l': '2237935379', 'T': '1669261679947', 'm': False, 'M': True}",1669261679947,2022-11-24T03:47:59.947Z,BTC/USDT,1917339368,,,buy,taker,16714.25,0.00061,10.1956925,,[]
574,"{'a': '1917339369', 'p': '16714.28000000', 'q': '0.00253000', 'f': '2237935380', 'l': '2237935380', 'T': '1669261679947', 'm': False, 'M': True}",1669261679947,2022-11-24T03:47:59.947Z,BTC/USDT,1917339369,,,buy,taker,16714.28,0.00253,42.2871284,,[]
575,"{'a': '1917339370', 'p': '16713.69000000', 'q': '0.00140000', 'f': '2237935381', 'l': '2237935381', 'T': '1669261679947', 'm': True, 'M': True}",1669261679947,2022-11-24T03:47:59.947Z,BTC/USDT,1917339370,,,sell,taker,16713.69,0.0014,23.399166,,[]
576,"{'a': '1917339371', 'p': '16714.31000000', 'q': '0.00113000', 'f': '2237935382', 'l': '2237935382', 'T': '1669261679948', 'm': False, 'M': True}",1669261679948,2022-11-24T03:47:59.948Z,BTC/USDT,1917339371,,,buy,taker,16714.31,0.00113,18.8871703,,[]
577,"{'a': '1917339372', 'p': '16713.69000000', 'q': '0.00106000', 'f': '2237935383', 'l': '2237935383', 'T': '1669261679953', 'm': True, 'M': True}",1669261679953,2022-11-24T03:47:59.953Z,BTC/USDT,1917339372,,,sell,taker,16713.69,0.00106,17.7165114,,[]
578,"{'a': '1917339373', 'p': '16713.69000000', 'q': '0.00261000', 'f': '2237935384', 'l': '2237935384', 'T': '1669261679958', 'm': True, 'M': True}",1669261679958,2022-11-24T03:47:59.958Z,BTC/USDT,1917339373,,,sell,taker,16713.69,0.00261,43.6227309,,[]
579,"{'a': '1917339374', 'p': '16714.31000000', 'q': '0.00149000', 'f': '2237935385', 'l': '2237935385', 'T': '1669261679958', 'm': False, 'M': True}",1669261679958,2022-11-24T03:47:59.958Z,BTC/USDT,1917339374,,,buy,taker,16714.31,0.00149,24.9043219,,[]
580,"{'a': '1917339375', 'p': '16714.27000000', 'q': '0.00172000', 'f': '2237935386', 'l': '2237935386', 'T': '1669261679966', 'm': False, 'M': True}",1669261679966,2022-11-24T03:47:59.966Z,BTC/USDT,1917339375,,,buy,taker,16714.27,0.00172,28.7485444,,[]
581,"{'a': '1917339376', 'p': '16714.09000000', 'q': '0.00106000', 'f': '2237935387', 'l': '2237935387', 'T': '1669261679973', 'm': False, 'M': True}",1669261679973,2022-11-24T03:47:59.973Z,BTC/USDT,1917339376,,,buy,taker,16714.09,0.00106,17.7169354,,[]
582,"{'a': '1917339377', 'p': '16714.09000000', 'q': '0.00315000', 'f': '2237935388', 'l': '2237935388', 'T': '1669261679976', 'm': False, 'M': True}",1669261679976,2022-11-24T03:47:59.976Z,BTC/USDT,1917339377,,,buy,taker,16714.09,0.00315,52.6493835,,[]
583,"{'a': '1917339378', 'p': '16714.09000000', 'q': '0.00302000', 'f': '2237935389', 'l': '2237935389', 'T': '1669261679977', 'm': False, 'M': True}",1669261679977,2022-11-24T03:47:59.977Z,BTC/USDT,1917339378,,,buy,taker,16714.09,0.00302,50.4765518,,[]
584,"{'a': '1917339379', 'p': '16713.69000000', 'q': '0.00093000', 'f': '2237935390', 'l': '2237935390', 'T': '1669261679977', 'm': True, 'M': True}",1669261679977,2022-11-24T03:47:59.977Z,BTC/USDT,1917339379,,,sell,taker,16713.69,0.00093,15.5437317,,[]
585,"{'a': '1917339380', 'p': '16713.59000000', 'q': '0.00179000', 'f': '2237935391', 'l': '2237935391', 'T': '1669261679977', 'm': True, 'M': True}",1669261679977,2022-11-24T03:47:59.977Z,BTC/USDT,1917339380,,,sell,taker,16713.59,0.00179,29.9173261,,[]
586,"{'a': '1917339381', 'p': '16713.59000000', 'q': '0.00079000', 'f': '2237935392', 'l': '2237935392', 'T': '1669261679977', 'm': True, 'M': True}",1669261679977,2022-11-24T03:47:59.977Z,BTC/USDT,1917339381,,,sell,taker,16713.59,0.00079,13.2037361,,[]
587,"{'a': '1917339382', 'p': '16713.59000000', 'q': '0.00155000', 'f': '2237935393', 'l': '2237935393', 'T': '1669261679979', 'm': True, 'M': True}",1669261679979,2022-11-24T03:47:59.979Z,BTC/USDT,1917339382,,,sell,taker,16713.59,0.00155,25.9060645,,[]
588,"{'a': '1917339383', 'p': '16713.59000000', 'q': '0.00137000', 'f': '2237935394', 'l': '2237935394', 'T': '1669261679980', 'm': True, 'M': True}",1669261679980,2022-11-24T03:47:59.980Z,BTC/USDT,1917339383,,,sell,taker,16713.59,0.00137,22.8976183,,[]
589,"{'a': '1917339384', 'p': '16713.59000000', 'q': '0.00261000', 'f': '2237935395', 'l': '2237935395', 'T': '1669261679980', 'm': True, 'M': True}",1669261679980,2022-11-24T03:47:59.980Z,BTC/USDT,1917339384,,,sell,taker,16713.59,0.00261,43.6224699,,[]
590,"{'a': '1917339385', 'p': '16713.91000000', 'q': '0.00326000', 'f': '2237935396', 'l': '2237935396', 'T': '1669261679980', 'm': False, 'M': True}",1669261679980,2022-11-24T03:47:59.980Z,BTC/USDT,1917339385,,,buy,taker,16713.91,0.00326,54.4873466,,[]
591,"{'a': '1917339386', 'p': '16713.91000000', 'q': '0.00369000', 'f': '2237935397', 'l': '2237935397', 'T': '1669261679981', 'm': False, 'M': True}",1669261679981,2022-11-24T03:47:59.981Z,BTC/USDT,1917339386,,,buy,taker,16713.91,0.00369,61.6743279,,[]
592,"{'a': '1917339387', 'p': '16713.91000000', 'q': '0.00669000', 'f': '2237935398', 'l': '2237935398', 'T': '1669261679981', 'm': False, 'M': True}",1669261679981,2022-11-24T03:47:59.981Z,BTC/USDT,1917339387,,,buy,taker,16713.91,0.00669,111.8160579,,[]
593,"{'a': '1917339388', 'p': '16713.91000000', 'q': '0.00098000', 'f': '2237935399', 'l': '2237935399', 'T': '1669261679982', 'm': False, 'M': True}",1669261679982,2022-11-24T03:47:59.982Z,BTC/USDT,1917339388,,,buy,taker,16713.91,0.00098,16.3796318,,[]
594,"{'a': '1917339389', 'p': '16713.91000000', 'q': '0.00330000', 'f': '2237935400', 'l': '2237935400', 'T': '1669261679987', 'm': False, 'M': True}",1669261679987,2022-11-24T03:47:59.987Z,BTC/USDT,1917339389,,,buy,taker,16713.91,0.0033,55.155903,,[]
595,"{'a': '1917339390', 'p': '16713.91000000', 'q': '0.00229000', 'f': '2237935401', 'l': '2237935401', 'T': '1669261679988', 'm': False, 'M': True}",1669261679988,2022-11-24T03:47:59.988Z,BTC/USDT,1917339390,,,buy,taker,16713.91,0.00229,38.2748539,,[]
596,"{'a': '1917339391', 'p': '16713.90000000', 'q': '0.00082000', 'f': '2237935402', 'l': '2237935402', 'T': '1669261679989', 'm': False, 'M': True}",1669261679989,2022-11-24T03:47:59.989Z,BTC/USDT,1917339391,,,buy,taker,16713.9,0.00082,13.705398,,[]
597,"{'a': '1917339392', 'p': '16713.59000000', 'q': '0.00120000', 'f': '2237935403', 'l': '2237935403', 'T': '1669261679990', 'm': True, 'M': True}",1669261679990,2022-11-24T03:47:59.990Z,BTC/USDT,1917339392,,,sell,taker,16713.59,0.0012,20.056308,,[]
598,"{'a': '1917339393', 'p': '16713.11000000', 'q': '0.00330000', 'f': '2237935404', 'l': '2237935404', 'T': '1669261679990', 'm': True, 'M': True}",1669261679990,2022-11-24T03:47:59.990Z,BTC/USDT,1917339393,,,sell,taker,16713.11,0.0033,55.153263,,[]
599,"{'a': '1917339394', 'p': '16713.59000000', 'q': '0.00296000', 'f': '2237935405', 'l': '2237935405', 'T': '1669261679993', 'm': True, 'M': True}",1669261679993,2022-11-24T03:47:59.993Z,BTC/USDT,1917339394,,,sell,taker,16713.59,0.00296,49.4722264,,[]
600,"{'a': '1917339395', 'p': '16713.59000000', 'q': '0.00124000', 'f': '2237935406', 'l': '2237935406', 'T': '1669261679994', 'm': True, 'M': True}",1669261679994,2022-11-24T03:47:59.994Z,BTC/USDT,1917339395,,,sell,taker,16713.59,0.00124,20.7248516,,[]
601,"{'a': '1917339396', 'p': '16713.90000000', 'q': '0.00481000', 'f': '2237935407', 'l': '2237935407', 'T': '1669261679995', 'm': False, 'M': True}",1669261679995,2022-11-24T03:47:59.995Z,BTC/USDT,1917339396,,,buy,taker,16713.9,0.00481,80.393859,,[]
602,"{'a': '1917339397', 'p': '16713.85000000', 'q': '0.00433000', 'f': '2237935408', 'l': '2237935408', 'T': '1669261679996', 'm': False, 'M': True}",1669261679996,2022-11-24T03:47:59.996Z,BTC/USDT,1917339397,,,buy,taker,16713.85,0.00433,72.3709705,,[]
603,"{'a': '1917339398', 'p': '16713.59000000', 'q': '0.00523000', 'f': '2237935409', 'l': '2237935411', 'T': '1669261679997', 'm': True, 'M': True}",1669261679997,2022-11-24T03:47:59.997Z,BTC/USDT,1917339398,,,sell,taker,16713.59,0.00523,87.4120757,,[]
